or-50-20-1-UC-30.cnf_no_p.cnf 0.81
or-50-20-1-UC-40.cnf_no_p.cnf 0.58
or-50-20-2.cnf_no_p.cnf 138.05
or-50-20-2-UC-10.cnf_no_p.cnf 279.10
or-50-20-2-UC-20.cnf_no_p.cnf 12.44
or-50-20-2-UC-30.cnf_no_p.cnf 1.48
or-50-20-2-UC-40.cnf_no_p.cnf 0.87
or-50-20-3.cnf_no_p.cnf 224.14
or-50-20-3-UC-10.cnf_no_p.cnf 52.56
or-50-20-3-UC-20.cnf_no_p.cnf 0.94
or-50-20-3-UC-30.cnf_no_p.cnf 0.79
or-50-20-3-UC-40.cnf_no_p.cnf 0.77
or-50-20-4.cnf_no_p.cnf 58.60
or-50-20-4-UC-10.cnf_no_p.cnf 2.93
or-50-20-4-UC-20.cnf_no_p.cnf 1.61
or-50-20-4-UC-30.cnf_no_p.cnf 1.36
or-50-20-4-UC-40.cnf_no_p.cnf 0.96
or-50-20-5.cnf_no_p.cnf 345.27
or-50-20-5-UC-10.cnf_no_p.cnf 18.78
or-50-20-5-UC-20.cnf_no_p.cnf 6.46
or-50-20-5-UC-30.cnf_no_p.cnf 1.19
or-50-20-5-UC-40.cnf_no_p.cnf 0.84
or-50-20-6.cnf_no_p.cnf 117.44
or-50-20-6-UC-10.cnf_no_p.cnf 19.23
or-50-20-6-UC-20.cnf_no_p.cnf 1.77
or-50-20-6-UC-30.cnf_no_p.cnf 0.75
or-50-20-6-UC-40.cnf_no_p.cnf 0.62
or-50-20-7.cnf_no_p.cnf 523.19
or-50-20-7-UC-10.cnf_no_p.cnf 8.56
or-50-20-7-UC-20.cnf_no_p.cnf 1.21
or-50-20-7-UC-30.cnf_no_p.cnf 0.70
or-50-20-7-UC-40.cnf_no_p.cnf 0.52
or-50-20-8.cnf_no_p.cnf 631.04
or-50-20-8-UC-10.cnf_no_p.cnf 2.21
or-50-20-8-UC-20.cnf_no_p.cnf 1.27
or-50-20-8-UC-30.cnf_no_p.cnf 0.55
or-50-20-8-UC-40.cnf_no_p.cnf 0.51
or-50-20-9.cnf_no_p.cnf 313.98
or-50-20-9-UC-10.cnf_no_p.cnf 55.57
or-50-20-9-UC-20.cnf_no_p.cnf 0.89
or-50-20-9-UC-30.cnf_no_p.cnf 0.57
or-50-20-9-UC-40.cnf_no_p.cnf 0.62
or-50-5-10.cnf_no_p.cnf 160.77
or-50-5-10-UC-10.cnf_no_p.cnf 1.57
or-50-5-10-UC-20.cnf_no_p.cnf 0.49
or-50-5-10-UC-30.cnf_no_p.cnf 0.41
or-50-5-10-UC-40.cnf_no_p.cnf 0.36
or-50-5-1.cnf_no_p.cnf 191.62
or-50-5-1-UC-10.cnf_no_p.cnf 4.27
or-50-5-1-UC-20.cnf_no_p.cnf 0.79
or-50-5-1-UC-30.cnf_no_p.cnf 0.47
or-50-5-1-UC-40.cnf_no_p.cnf 0.43
or-50-5-2-UC-10.cnf_no_p.cnf 146.05
or-50-5-2-UC-20.cnf_no_p.cnf 1.71
or-50-5-2-UC-30.cnf_no_p.cnf 0.40
or-50-5-2-UC-40.cnf_no_p.cnf 0.46
or-50-5-3.cnf_no_p.cnf 269.69
or-50-5-3-UC-10.cnf_no_p.cnf 0.82
or-50-5-3-UC-20.cnf_no_p.cnf 0.49
or-50-5-3-UC-30.cnf_no_p.cnf 0.49
or-50-5-3-UC-40.cnf_no_p.cnf 0.47
or-50-5-4.cnf_no_p.cnf 238.88
or-50-5-4-UC-10.cnf_no_p.cnf 143.39
or-50-5-4-UC-20.cnf_no_p.cnf 10.24
or-50-5-4-UC-30.cnf_no_p.cnf 0.76
or-50-5-4-UC-40.cnf_no_p.cnf 0.51
or-50-5-5.cnf_no_p.cnf 390.00
or-50-5-5-UC-10.cnf_no_p.cnf 76.22
or-50-5-5-UC-20.cnf_no_p.cnf 1.30
or-50-5-5-UC-30.cnf_no_p.cnf 0.47
or-50-5-5-UC-40.cnf_no_p.cnf 0.41
or-50-5-6.cnf_no_p.cnf 346.65
or-50-5-6-UC-10.cnf_no_p.cnf 0.72
or-50-5-6-UC-20.cnf_no_p.cnf 0.50
or-50-5-6-UC-30.cnf_no_p.cnf 0.45
or-50-5-6-UC-40.cnf_no_p.cnf 0.47
or-50-5-7.cnf_no_p.cnf 427.33
or-50-5-7-UC-10.cnf_no_p.cnf 41.55
or-50-5-7-UC-20.cnf_no_p.cnf 0.84
or-50-5-7-UC-30.cnf_no_p.cnf 0.50
or-50-5-7-UC-40.cnf_no_p.cnf 0.44
or-50-5-8.cnf_no_p.cnf 831.78
or-50-5-8-UC-10.cnf_no_p.cnf 8.74
or-50-5-8-UC-20.cnf_no_p.cnf 0.99
or-50-5-8-UC-30.cnf_no_p.cnf 0.44
or-50-5-8-UC-40.cnf_no_p.cnf 0.41
or-50-5-9.cnf_no_p.cnf 848.03
or-50-5-9-UC-10.cnf_no_p.cnf 4.37
or-50-5-9-UC-20.cnf_no_p.cnf 0.94
or-50-5-9-UC-30.cnf_no_p.cnf 0.45
or-50-5-9-UC-40.cnf_no_p.cnf 0.40
or-60-10-10.cnf_no_p.cnf 2131.06
or-60-10-10-UC-10.cnf_no_p.cnf 171.45
or-60-10-10-UC-20.cnf_no_p.cnf 1.34
or-60-10-10-UC-30.cnf_no_p.cnf 0.56
or-60-10-10-UC-40.cnf_no_p.cnf 0.58
or-60-10-1-UC-10.cnf_no_p.cnf 157.49
or-60-10-1-UC-20.cnf_no_p.cnf 21.15
or-60-10-1-UC-30.cnf_no_p.cnf 2.04
or-60-10-1-UC-40.cnf_no_p.cnf 0.96
or-60-10-2-UC-10.cnf_no_p.cnf 49.92
or-60-10-2-UC-20.cnf_no_p.cnf 11.83
or-60-10-2-UC-30.cnf_no_p.cnf 0.50
or-60-10-2-UC-40.cnf_no_p.cnf 0.47
or-60-10-3-UC-10.cnf_no_p.cnf 703.30
or-60-10-3-UC-20.cnf_no_p.cnf 10.59
or-60-10-3-UC-30.cnf_no_p.cnf 2.04
or-60-10-3-UC-40.cnf_no_p.cnf 1.00
or-60-10-4-UC-10.cnf_no_p.cnf 22.18
or-60-10-4-UC-20.cnf_no_p.cnf 0.62
or-60-10-4-UC-30.cnf_no_p.cnf 0.42
or-60-10-4-UC-40.cnf_no_p.cnf 0.44
or-60-10-5-UC-10.cnf_no_p.cnf 6.21
or-60-10-5-UC-20.cnf_no_p.cnf 0.70
or-60-10-5-UC-30.cnf_no_p.cnf 0.64
or-60-10-5-UC-40.cnf_no_p.cnf 0.63
or-60-10-6-UC-10.cnf_no_p.cnf 449.56
or-60-10-6-UC-20.cnf_no_p.cnf 0.85
or-60-10-6-UC-30.cnf_no_p.cnf 0.62
or-60-10-6-UC-40.cnf_no_p.cnf 0.65
or-60-10-7-UC-10.cnf_no_p.cnf 18.35
or-60-10-7-UC-20.cnf_no_p.cnf 1.15
or-60-10-7-UC-30.cnf_no_p.cnf 0.58
or-60-10-7-UC-40.cnf_no_p.cnf 0.55
or-60-10-8-UC-10.cnf_no_p.cnf 2.20
or-60-10-8-UC-20.cnf_no_p.cnf 1.68
or-60-10-8-UC-30.cnf_no_p.cnf 0.63
or-60-10-8-UC-40.cnf_no_p.cnf 0.55
or-60-10-9-UC-10.cnf_no_p.cnf 9.00
or-60-10-9-UC-20.cnf_no_p.cnf 0.76
or-60-10-9-UC-30.cnf_no_p.cnf 0.54
or-60-10-9-UC-40.cnf_no_p.cnf 0.50
or-60-20-10-UC-10.cnf_no_p.cnf 615.35
or-60-20-10-UC-20.cnf_no_p.cnf 45.13
or-60-20-10-UC-30.cnf_no_p.cnf 1.67
or-60-20-10-UC-40.cnf_no_p.cnf 0.90
or-60-20-1-UC-10.cnf_no_p.cnf 353.22
or-60-20-1-UC-20.cnf_no_p.cnf 1.91
or-60-20-1-UC-30.cnf_no_p.cnf 0.84
or-60-20-1-UC-40.cnf_no_p.cnf 0.86
or-60-20-2-UC-10.cnf_no_p.cnf 435.82
or-60-20-2-UC-20.cnf_no_p.cnf 4.85
or-60-20-2-UC-30.cnf_no_p.cnf 0.61
or-60-20-2-UC-40.cnf_no_p.cnf 0.68
or-60-20-3-UC-10.cnf_no_p.cnf 8.14
or-60-20-3-UC-20.cnf_no_p.cnf 1.70
or-60-20-3-UC-30.cnf_no_p.cnf 1.13
or-60-20-3-UC-40.cnf_no_p.cnf 0.78
or-60-20-4-UC-10.cnf_no_p.cnf 576.04
or-60-20-4-UC-20.cnf_no_p.cnf 88.37
or-60-20-4-UC-30.cnf_no_p.cnf 8.96
or-60-20-4-UC-40.cnf_no_p.cnf 5.03
or-60-20-5-UC-10.cnf_no_p.cnf 1769.74
or-60-20-5-UC-20.cnf_no_p.cnf 817.63
or-60-20-5-UC-30.cnf_no_p.cnf 34.98
or-60-20-5-UC-40.cnf_no_p.cnf 1.45
or-60-20-6-UC-10.cnf_no_p.cnf 1411.14
or-60-20-6-UC-20.cnf_no_p.cnf 227.43
or-60-20-6-UC-30.cnf_no_p.cnf 17.65
or-60-20-6-UC-40.cnf_no_p.cnf 4.09
or-60-20-7-UC-10.cnf_no_p.cnf 870.49
or-60-20-7-UC-20.cnf_no_p.cnf 342.58
or-60-20-7-UC-30.cnf_no_p.cnf 4.38
or-60-20-7-UC-40.cnf_no_p.cnf 0.72
or-60-20-8.cnf_no_p.cnf 1823.17
or-60-20-8-UC-10.cnf_no_p.cnf 84.26
or-60-20-8-UC-20.cnf_no_p.cnf 0.85
or-60-20-8-UC-30.cnf_no_p.cnf 0.69
or-60-20-8-UC-40.cnf_no_p.cnf 0.58
or-60-20-9-UC-10.cnf_no_p.cnf 49.84
or-60-20-9-UC-20.cnf_no_p.cnf 1.06
or-60-20-9-UC-30.cnf_no_p.cnf 0.54
or-60-20-9-UC-40.cnf_no_p.cnf 0.53
or-60-5-10-UC-10.cnf_no_p.cnf 2.36
or-60-5-10-UC-20.cnf_no_p.cnf 1.06
or-60-5-10-UC-30.cnf_no_p.cnf 0.51
or-60-5-10-UC-40.cnf_no_p.cnf 0.48
or-60-5-1-UC-10.cnf_no_p.cnf 2.26
or-60-5-1-UC-20.cnf_no_p.cnf 1.78
or-60-5-1-UC-30.cnf_no_p.cnf 0.60
or-60-5-1-UC-40.cnf_no_p.cnf 0.44
or-60-5-2-UC-10.cnf_no_p.cnf 12.18
or-60-5-2-UC-20.cnf_no_p.cnf 0.71
or-60-5-2-UC-30.cnf_no_p.cnf 0.48
or-60-5-2-UC-40.cnf_no_p.cnf 0.44
or-60-5-3-UC-10.cnf_no_p.cnf 322.20
or-60-5-3-UC-20.cnf_no_p.cnf 7.31
or-60-5-3-UC-30.cnf_no_p.cnf 0.48
or-60-5-3-UC-40.cnf_no_p.cnf 0.58
or-60-5-4-UC-10.cnf_no_p.cnf 1.59
or-60-5-4-UC-20.cnf_no_p.cnf 0.57
or-60-5-4-UC-30.cnf_no_p.cnf 0.56
or-60-5-4-UC-40.cnf_no_p.cnf 0.53
or-60-5-5-UC-10.cnf_no_p.cnf 9.67
or-60-5-5-UC-20.cnf_no_p.cnf 0.59
or-60-5-5-UC-30.cnf_no_p.cnf 0.55
or-60-5-5-UC-40.cnf_no_p.cnf 0.54
or-60-5-6-UC-10.cnf_no_p.cnf 19.02
or-60-5-6-UC-20.cnf_no_p.cnf 0.51
or-60-5-6-UC-30.cnf_no_p.cnf 0.52
or-60-5-6-UC-40.cnf_no_p.cnf 0.48
or-60-5-7.cnf_no_p.cnf 2015.51
or-60-5-7-UC-10.cnf_no_p.cnf 3.68
or-60-5-7-UC-20.cnf_no_p.cnf 0.66
or-60-5-7-UC-30.cnf_no_p.cnf 0.59
or-60-5-7-UC-40.cnf_no_p.cnf 0.53
or-60-5-8-UC-10.cnf_no_p.cnf 184.80
or-60-5-8-UC-20.cnf_no_p.cnf 0.64
or-60-5-8-UC-30.cnf_no_p.cnf 0.55
or-60-5-8-UC-40.cnf_no_p.cnf 0.55
or-60-5-9-UC-10.cnf_no_p.cnf 9.82
or-60-5-9-UC-20.cnf_no_p.cnf 0.56
or-60-5-9-UC-30.cnf_no_p.cnf 0.46
or-60-5-9-UC-40.cnf_no_p.cnf 0.51
or-70-10-10-UC-10.cnf_no_p.cnf 619.90
or-70-10-10-UC-20.cnf_no_p.cnf 2.64
or-70-10-10-UC-30.cnf_no_p.cnf 0.56
or-70-10-10-UC-40.cnf_no_p.cnf 0.59
or-70-10-1-UC-10.cnf_no_p.cnf 44.12
or-70-10-1-UC-20.cnf_no_p.cnf 1.05
or-70-10-1-UC-30.cnf_no_p.cnf 0.82
or-70-10-1-UC-40.cnf_no_p.cnf 0.57
or-70-10-2-UC-10.cnf_no_p.cnf 1257.25
or-70-10-2-UC-20.cnf_no_p.cnf 8.26
or-70-10-2-UC-30.cnf_no_p.cnf 0.74
or-70-10-2-UC-40.cnf_no_p.cnf 0.64
